zeta zeta_e psi t_s omega taus_mean taus_std taus_skewness taus_kurtosis taus_median taus_iqr epsilons_mean epsilons_std epsilons_skewness epsilons_kurtosis epsilons_median epsilons_iqr Ne_s_mean Ne_s_std Ne_s_skewness Ne_s_kurtosis Ne_s_median Ne_s_iqr pop0-[[5_1]] pop0-[[4_2]] pop0-[[3_3]] pop1-[[5_1]] pop1-[[4_2]] pop1-[[3_3]] pop2-[[5_1]] pop2-[[4_2]] pop2-[[3_3]] pop3-[[5_1]] pop3-[[4_2]] pop3-[[3_3]] pop4-[[5_1]] pop4-[[4_2]] pop4-[[3_3]] pop5-[[5_1]] pop5-[[4_2]] pop5-[[3_3]] pop6-[[5_1]] pop6-[[4_2]] pop6-[[3_3]] pop7-[[5_1]] pop7-[[4_2]] pop7-[[3_3]] pop8-[[5_1]] pop8-[[4_2]] pop8-[[3_3]] pop9-[[5_1]] pop9-[[4_2]] pop9-[[3_3]] pop10-[[5_1]] pop10-[[4_2]] pop10-[[3_3]] pop11-[[5_1]] pop11-[[4_2]] pop11-[[3_3]] pop12-[[5_1]] pop12-[[4_2]] pop12-[[3_3]] pop13-[[5_1]] pop13-[[4_2]] pop13-[[3_3]] pop14-[[5_1]] pop14-[[4_2]] pop14-[[3_3]] pop15-[[5_1]] pop15-[[4_2]] pop15-[[3_3]] pop16-[[5_1]] pop16-[[4_2]] pop16-[[3_3]] pop17-[[5_1]] pop17-[[4_2]] pop17-[[3_3]] pop18-[[5_1]] pop18-[[4_2]] pop18-[[3_3]] pop19-[[5_1]] pop19-[[4_2]] pop19-[[3_3]] pop20-[[5_1]] pop20-[[4_2]] pop20-[[3_3]]
0.032 1 0 0.592 0.076 0.798 0.246 -0.077 -1.436 0.799 0.436 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 51 24 74 45 22 73 45 20 72 44 20 69 44 20 68 43 19 63 43 19 60 38 19 60 36 19 60 36 18 59 33 18 59 32 17 59 31 14 59 27 13 59 26 12 57 26 11 55 24 10 55 24 10 52 23 8 51 20 8 42 15 7
0.997 21 1 1.213 0.000 1.213 0.000 0.000 -3.000 1.213 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 54 23 76 50 23 73 48 20 72 48 19 71 45 19 70 45 19 70 44 18 67 44 18 66 43 18 66 42 17 63 41 17 63 41 17 62 40 16 61 40 16 61 39 15 60 39 14 59 37 13 57 33 13 57 32 13 57 29 10 51 28 9
0.560 12 1 0.370 0.117 0.535 0.250 0.963 -0.873 0.370 0.423 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 63 35 22 60 32 14 58 32 13 57 29 13 55 28 11 55 26 11 55 26 11 55 25 10 55 25 10 54 23 10 51 23 10 50 23 9 47 23 9 47 23 9 46 22 8 46 21 8 45 21 8 43 18 7 41 18 7 33 16 6 29 14 5
0.104 2 1 0.353 0.112 0.721 0.285 -0.130 -1.625 0.841 0.560 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 43 23 77 40 22 76 40 22 68 37 21 67 36 20 67 35 19 65 35 19 62 35 18 59 32 17 59 32 17 58 31 14 58 31 13 57 30 13 53 29 12 52 27 11 49 26 10 46 25 8 45 20 8 38 20 8 35 20 7 32 14 4
0.533 11 1 0.384 0.095 0.538 0.226 1.246 0.687 0.384 0.343 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 63 32 16 62 30 15 60 30 15 59 28 14 58 26 14 57 26 13 54 25 12 54 24 11 52 24 10 50 23 10 49 23 10 49 22 10 48 22 8 48 22 8 48 21 8 47 21 8 46 20 8 44 19 7 43 18 6 42 18 5 36 17 4
0.791 17 1 0.553 0.026 0.583 0.122 2.787 7.070 0.553 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 84 39 17 65 37 16 65 37 16 62 37 15 62 36 14 60 35 13 59 32 13 57 32 12 57 32 11 56 32 11 56 29 11 54 29 10 53 28 10 51 27 10 50 25 9 50 24 8 49 24 8 49 23 7 45 23 7 43 22 7 41 21 6
0.056 1 0 0.596 0.105 0.689 0.268 0.164 -0.763 0.706 0.390 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 85 44 24 75 44 23 69 43 21 68 41 20 68 41 20 68 39 18 67 39 16 65 39 14 63 38 14 62 34 14 60 33 12 59 33 12 59 31 11 56 28 11 56 25 11 51 25 10 50 22 9 48 22 9 47 17 8 45 12 7 45 12 7
0.598 13 1 0.688 0.036 0.746 0.165 1.007 0.666 0.688 0.042 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 42 18 73 41 17 71 41 17 70 40 17 66 40 17 66 40 15 66 39 14 66 35 14 63 34 13 62 34 13 62 33 13 62 33 12 58 33 12 57 33 11 57 32 10 56 31 9 55 28 9 54 27 8 50 26 8 49 26 8 46 20 8
0.965 20 1 0.571 0.007 0.585 0.063 4.249 16.050 0.571 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 73 37 23 73 36 19 72 36 19 66 34 18 64 33 17 64 33 17 63 33 16 63 32 15 62 32 14 61 31 13 58 30 13 58 29 13 57 29 13 56 28 11 53 28 10 53 27 9 51 26 9 51 26 8 50 26 8 47 24 8 45 22 3
0.515 11 1 0.361 0.068 0.467 0.178 2.165 4.023 0.361 0.150 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 61 33 14 61 33 14 57 29 13 54 28 10 52 28 10 51 28 10 50 27 9 49 24 9 48 24 8 47 24 8 47 23 8 46 23 8 45 22 8 44 22 7 44 19 7 42 19 7 41 18 6 41 18 5 40 18 5 40 17 4 36 17 3
0.560 12 1 0.843 0.037 0.782 0.169 -0.297 0.308 0.843 0.166 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 88 46 29 76 45 27 73 43 23 72 43 17 72 42 15 72 42 14 71 41 14 70 39 13 70 37 13 69 36 13 67 35 13 66 35 13 65 33 13 64 32 13 63 32 12 63 31 12 63 30 12 55 30 11 54 30 10 54 22 10 49 22 5
0.458 10 1 0.365 0.129 0.589 0.275 0.920 -0.533 0.418 0.386 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 70 44 18 66 31 13 66 31 13 61 29 13 59 29 13 58 28 12 52 27 12 51 27 12 50 26 11 47 25 11 46 24 9 46 23 8 44 21 8 44 20 8 44 20 7 44 20 7 44 19 6 42 19 6 41 19 5 34 18 4 32 16 4
0.412 9 1 0.271 0.202 0.607 0.351 0.441 -1.378 0.445 0.609 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 72 58 23 71 49 15 64 49 13 61 25 12 60 24 10 53 24 9 51 23 9 49 23 8 49 22 8 48 22 8 47 20 8 45 19 8 44 18 7 43 17 7 43 17 7 42 17 6 42 16 6 40 14 5 38 13 4 37 13 3 36 8 3
0.636 13 1 0.476 0.073 0.552 0.201 1.510 1.334 0.476 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 67 42 20 64 37 16 62 36 15 61 35 15 59 33 14 57 29 14 57 29 13 56 29 13 55 29 13 55 29 12 55 29 11 54 28 9 54 27 8 53 27 8 53 26 7 52 26 7 50 24 7 48 23 7 45 22 7 44 19 7 41 18 3
0.928 19 1 0.485 0.006 0.498 0.057 4.240 16.004 0.485 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 67 33 18 61 32 16 61 32 15 58 32 15 56 31 14 53 29 12 53 29 12 52 29 11 52 28 10 51 27 10 50 27 10 50 26 10 49 24 9 49 24 9 48 24 8 48 24 8 47 23 8 47 23 7 45 23 7 42 22 7 42 19 6
0.667 14 1 0.338 0.124 0.471 0.242 1.555 0.685 0.338 0.079 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 65 32 13 63 25 13 56 24 12 54 23 11 52 23 11 52 23 10 52 21 10 50 21 9 50 21 8 49 20 8 49 19 7 48 19 7 47 19 7 46 19 7 45 19 7 43 19 7 40 18 6 40 16 6 39 14 6 36 13 5 35 13 4
0.657 14 1 1.205 0.043 1.062 0.215 -1.072 -0.390 1.205 0.365 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 89 49 28 84 48 27 84 45 26 80 45 25 80 45 23 80 43 21 77 43 21 73 42 21 70 42 21 70 40 20 69 40 20 68 38 17 68 35 17 65 35 16 65 34 15 64 34 15 63 33 14 63 33 13 61 28 13 54 26 13 52 24 10
0.406 9 1 0.823 0.064 0.759 0.220 -0.531 -0.122 0.823 0.137 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 60 20 77 48 20 75 48 19 73 47 19 72 46 19 72 45 17 69 45 17 68 37 16 68 36 16 66 35 16 64 34 15 60 33 15 60 31 15 58 31 14 58 31 14 56 31 14 56 30 13 50 28 12 50 28 11 46 27 9 42 24 8
0.158 3 1 0.430 0.150 0.582 0.295 0.904 -0.566 0.437 0.306 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 72 48 21 69 41 16 68 37 16 67 32 16 62 32 13 58 31 13 55 31 13 53 30 12 52 29 12 52 28 12 51 28 11 51 27 11 51 27 11 51 26 10 47 24 10 47 23 9 44 21 9 42 20 9 39 18 8 39 15 6 34 15 4
0.027 1 0 1.010 0.123 0.731 0.300 -0.173 -1.358 0.728 0.499 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 45 20 70 45 19 67 41 18 66 40 17 65 40 16 64 38 15 62 36 15 62 36 14 61 33 12 59 32 12 56 30 11 56 29 11 54 27 11 53 26 9 51 25 9 51 24 7 51 24 6 50 24 5 46 23 5 43 19 5 41 18 4
0.555 12 1 0.320 0.186 0.545 0.318 1.037 -0.521 0.320 0.422 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 58 28 15 56 27 15 54 26 15 53 25 11 52 25 11 51 24 10 51 23 10 51 22 10 50 22 9 48 21 9 48 20 9 47 20 9 47 18 8 46 17 8 45 17 6 44 16 6 43 15 6 42 15 5 39 13 5 38 11 4 35 10 3
0.623 13 1 1.199 0.067 1.027 0.263 -1.345 0.502 1.199 0.290 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 85 57 28 83 50 26 82 49 23 77 46 21 73 46 21 71 45 20 70 43 20 69 43 19 67 42 19 67 42 18 67 41 17 66 41 16 66 41 16 65 40 15 63 40 15 60 39 14 60 39 12 60 38 12 59 37 11 59 33 10 56 28 8
0.611 13 1 0.605 0.034 0.673 0.151 0.978 -0.141 0.605 0.131 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 68 39 21 66 38 18 65 38 17 64 36 17 64 36 16 64 36 16 62 33 15 61 33 15 60 33 14 59 32 14 55 32 13 54 31 13 53 31 13 53 31 12 51 27 11 50 26 11 49 26 9 48 25 7 47 25 7 47 25 7 37 20 4
0.661 14 1 0.928 0.045 0.875 0.198 -0.840 0.186 0.928 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 47 22 76 45 22 75 44 21 75 42 21 72 42 21 71 40 20 68 40 18 68 40 18 68 39 17 67 37 16 67 37 15 66 37 14 61 37 14 61 37 14 60 35 14 57 34 13 55 33 13 55 33 12 54 31 10 52 28 9 49 24 8
0.838 18 1 0.792 0.011 0.810 0.095 2.642 8.699 0.792 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 44 26 69 43 22 68 43 22 67 42 21 66 41 20 65 41 18 65 41 17 64 40 16 64 36 16 64 34 15 63 34 15 63 34 15 59 33 14 56 33 14 56 33 12 54 31 12 51 31 11 51 30 10 50 29 10 50 29 6 42 27 6
0.325 7 1 0.699 0.061 0.783 0.219 0.285 -0.736 0.699 0.238 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 50 21 73 47 20 72 46 20 67 41 18 66 41 18 65 40 18 65 40 17 64 39 14 64 35 14 64 33 13 63 33 13 63 31 13 62 31 12 62 31 12 60 30 12 56 30 12 55 27 11 52 24 10 49 21 8 49 21 6 46 15 6
0.357 7 1 0.565 0.080 0.710 0.238 0.693 -0.801 0.565 0.318 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 38 22 69 36 22 68 35 16 67 35 16 66 35 15 65 32 15 62 32 15 61 32 15 61 31 13 61 31 13 60 31 13 60 31 12 59 29 12 58 28 11 57 27 11 53 26 11 53 26 11 52 24 11 52 24 10 46 23 7 45 21 7
0.886 19 1 0.382 0.013 0.391 0.072 3.061 11.627 0.382 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 72 31 14 71 27 14 59 26 13 58 26 13 58 26 12 56 25 11 53 25 11 53 24 11 53 23 10 52 23 10 51 22 9 50 21 9 48 21 9 46 21 8 46 20 8 45 20 7 45 19 6 43 18 4 43 17 4 43 16 2 39 16 2
0.215 5 1 0.302 0.150 0.648 0.312 0.453 -1.262 0.563 0.495 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 83 52 25 76 50 21 74 42 20 74 36 18 58 35 17 56 31 16 56 30 16 54 30 13 53 28 12 53 28 12 52 28 12 51 25 10 51 25 10 49 22 9 48 19 8 47 19 8 44 18 6 41 17 4 40 17 4 39 16 4 38 15 3
0.935 20 1 0.259 0.031 0.280 0.093 4.249 16.050 0.259 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 63 26 9 52 24 8 52 23 7 49 20 7 48 19 7 48 18 7 47 17 6 47 17 6 45 17 6 44 17 6 44 16 5 42 16 5 41 16 4 40 15 4 40 15 4 35 15 3 35 14 3 35 14 2 35 13 2 33 13 1 31 9 1
0.036 1 0 0.954 0.113 0.765 0.294 -0.087 -1.376 0.729 0.471 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 85 56 19 79 49 18 76 45 18 75 43 16 67 41 16 66 40 16 64 40 15 62 38 15 61 38 14 61 30 13 61 30 12 59 29 11 58 28 10 57 27 10 55 27 9 54 27 9 54 25 7 50 25 6 50 25 6 45 17 6 42 14 2
0.021 0 0 0.915 0.070 0.754 0.229 -0.373 -0.397 0.789 0.280 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 46 21 78 46 18 69 46 18 69 44 17 69 42 16 68 41 16 67 40 15 67 38 15 66 37 14 66 37 13 66 35 13 59 35 13 57 32 12 56 31 12 55 30 12 55 28 12 53 25 11 52 22 11 50 21 10 47 17 10 28 17 9
0.903 19 1 1.126 0.012 1.097 0.116 -4.135 15.388 1.126 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 52 22 79 52 21 79 51 20 79 49 20 74 48 18 72 47 18 69 46 17 69 44 17 68 44 17 68 43 16 67 42 16 66 42 15 65 41 15 65 41 15 65 39 14 64 39 14 64 38 13 63 36 13 63 36 13 61 31 11 59 28 9
0.993 21 1 1.087 0.000 1.087 0.000 0.000 -3.000 1.087 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 96 54 24 80 49 22 79 49 22 74 48 20 74 47 19 73 46 18 71 45 18 70 44 17 69 43 16 68 42 16 63 40 16 62 39 15 61 39 15 61 37 14 60 36 14 59 35 12 52 35 12 52 32 12 50 29 11 50 27 10 48 25 9
0.065 1 0 1.127 0.116 0.838 0.312 -0.396 -1.361 0.878 0.461 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 77 49 22 74 46 22 73 46 21 72 44 21 69 44 21 66 42 20 65 39 18 65 38 18 63 37 17 63 36 17 62 34 17 62 30 16 62 30 14 61 30 12 56 28 11 56 27 11 52 27 10 52 27 10 51 24 9 50 19 8 49 13 7
0.213 4 1 1.063 0.072 0.805 0.241 -0.294 -0.947 0.741 0.378 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 72 54 23 71 53 23 69 48 23 69 48 22 69 42 22 68 42 20 68 41 18 68 41 16 67 38 15 64 35 15 59 34 15 58 33 14 56 32 14 56 31 13 55 30 12 53 29 12 53 29 11 53 28 10 52 27 10 48 26 8 44 24 7
0.015 0 0 0.427 0.098 0.715 0.265 0.368 -0.773 0.698 0.450 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 55 22 76 46 22 75 45 21 72 36 17 71 34 17 69 34 17 68 33 16 64 33 16 63 33 15 59 30 15 59 29 14 58 27 12 56 26 12 54 25 12 53 24 11 53 23 11 51 22 11 48 21 8 43 21 5 42 20 5 40 17 5
0.124 3 1 0.858 0.094 0.789 0.273 -0.586 -0.907 0.858 0.367 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 55 26 71 48 24 68 46 22 66 41 22 65 37 21 64 37 19 64 37 16 62 37 16 60 35 15 59 35 14 58 35 14 57 34 14 56 32 14 55 31 13 54 30 13 51 27 12 50 27 11 50 26 10 44 23 9 40 19 8 40 18 6
0.517 11 1 0.745 0.068 0.779 0.231 -0.087 0.009 0.745 0.079 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 71 48 25 69 46 20 66 41 19 65 39 16 65 38 16 65 37 16 64 35 15 62 35 15 62 35 15 61 35 15 60 34 14 59 34 14 59 34 14 59 33 13 59 33 13 57 31 12 50 30 11 48 29 10 46 28 10 45 28 6 42 24 6
0.308 6 1 1.101 0.099 0.864 0.293 -0.772 -0.917 1.047 0.434 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 50 24 81 46 24 76 43 22 74 42 21 68 40 21 67 40 20 64 38 19 63 37 18 62 37 17 61 36 16 59 34 14 59 33 14 58 32 14 58 31 13 56 28 12 56 27 12 56 25 11 55 22 10 54 20 9 52 14 8 39 12 8
0.428 9 1 0.282 0.198 0.526 0.323 0.868 -0.800 0.282 0.442 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 48 22 62 41 14 60 29 14 55 27 13 53 25 12 53 24 10 49 23 9 49 22 9 49 22 8 48 22 7 47 21 7 47 21 7 45 20 7 43 19 6 39 19 6 39 19 6 38 19 5 38 16 5 38 15 4 36 15 4 33 9 2
0.387 8 1 0.786 0.078 0.713 0.236 -0.189 -1.078 0.786 0.305 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 51 23 72 46 22 70 42 22 69 41 20 69 38 20 68 37 19 66 36 17 66 36 16 63 36 16 62 35 16 60 35 15 59 34 13 56 34 13 56 32 12 55 32 12 55 31 11 55 30 10 54 29 9 53 28 9 50 27 8 50 24 8
0.970 20 1 1.085 0.009 1.063 0.099 -4.249 16.050 1.085 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 88 61 30 86 60 29 85 51 25 83 51 24 75 48 23 71 45 22 71 43 20 70 42 19 69 42 18 69 41 18 69 41 17 68 41 15 66 41 15 64 41 15 60 40 14 59 37 14 58 34 14 56 34 14 53 32 12 50 32 11 48 27 11
0.002 0 0 0.512 0.074 0.733 0.232 0.180 -0.879 0.745 0.334 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 87 49 25 79 44 21 75 41 20 74 39 17 72 38 17 69 37 17 68 36 16 68 34 14 65 32 13 63 32 13 62 31 11 60 30 10 58 30 10 57 28 10 54 26 10 54 24 10 50 24 10 49 22 8 45 22 5 44 19 5 42 17 4
0.861 18 1 0.483 0.038 0.522 0.141 3.705 12.600 0.483 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 70 35 17 64 33 14 60 33 13 58 33 11 57 30 11 56 29 11 55 29 10 55 28 9 55 27 9 52 27 9 51 26 9 51 26 8 51 26 7 50 26 7 49 26 7 49 25 7 48 23 6 47 21 6 45 20 6 43 18 6 43 17 4
0.453 10 1 0.698 0.084 0.776 0.256 0.409 -0.560 0.698 0.131 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 44 24 70 44 21 69 43 19 67 41 18 66 41 15 66 40 15 65 40 14 65 38 14 64 36 13 61 34 13 60 33 13 60 33 13 59 32 13 57 32 13 56 31 12 56 30 11 55 27 10 53 25 10 50 23 10 49 22 7 46 20 6
0.558 12 1 0.697 0.035 0.703 0.156 -0.195 0.507 0.697 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 43 21 79 42 21 76 42 19 69 39 18 68 39 16 64 39 16 63 37 15 62 37 15 60 37 15 60 36 15 59 36 15 58 36 12 57 35 11 55 34 11 53 34 11 52 32 10 51 32 10 48 32 10 46 31 10 45 30 5 43 25 4
0.544 11 1 1.168 0.050 1.038 0.228 -1.841 2.875 1.168 0.226 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 88 53 27 87 51 24 84 46 23 79 44 23 77 41 23 74 40 22 73 39 22 71 39 20 71 39 20 70 37 19 67 37 19 64 36 17 63 36 16 61 36 16 59 35 16 59 29 15 56 28 14 55 27 14 54 27 14 48 24 13 46 24 9
0.118 2 1 1.201 0.131 0.776 0.319 -0.036 -1.465 0.746 0.599 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 49 26 72 45 26 69 45 20 67 44 18 66 38 18 64 37 17 63 37 16 62 36 15 60 36 14 59 35 13 59 33 13 58 32 12 58 30 10 58 30 9 55 26 9 55 26 8 49 24 8 46 23 8 40 22 8 40 18 6 39 18 5
0.192 4 1 0.497 0.152 0.595 0.300 0.786 -0.747 0.497 0.445 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 69 41 18 68 40 17 66 34 17 65 34 16 65 33 16 63 33 13 62 32 13 61 31 13 60 29 13 59 27 13 56 27 12 52 24 11 51 24 11 51 21 10 50 21 10 48 21 9 47 20 9 46 19 9 45 17 8 45 15 8 42 11 6
0.201 4 1 1.100 0.132 0.743 0.313 -0.169 -1.502 0.799 0.649 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 49 26 77 46 24 77 38 21 70 37 19 69 37 18 69 36 17 67 35 17 63 35 16 63 34 16 63 34 15 61 34 15 59 33 13 55 33 13 54 31 10 52 30 10 52 28 9 51 26 9 51 22 8 46 19 7 45 17 7 37 13 5
0.409 9 1 0.906 0.038 0.801 0.175 -0.917 -0.545 0.906 0.266 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 75 49 24 74 47 23 73 44 22 72 43 19 69 40 17 69 40 17 67 39 16 67 38 16 65 38 15 60 37 15 59 37 14 55 37 14 55 37 14 54 36 13 53 35 13 50 32 13 50 32 12 50 26 12 50 25 10 45 24 10 40 20 8
0.533 11 1 1.048 0.059 0.978 0.239 -1.794 2.289 1.048 0.026 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 52 24 80 52 21 79 51 20 76 49 20 74 46 20 74 46 19 73 45 19 71 45 18 70 44 17 70 43 17 66 41 15 64 39 15 63 37 13 61 37 13 61 36 13 61 36 12 58 35 11 58 35 11 56 34 10 54 32 4 51 30 3
0.329 7 1 0.917 0.094 0.793 0.273 -0.603 -0.902 0.917 0.256 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 53 22 75 53 21 74 52 20 73 49 18 72 47 17 72 46 17 71 46 16 71 43 16 66 39 16 64 38 16 63 38 15 61 36 15 58 34 14 56 34 14 53 33 14 52 32 11 51 30 10 48 27 9 47 22 7 47 20 7 45 13 6
0.975 20 1 0.469 0.000 0.467 0.006 -4.249 16.050 0.469 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 64 36 17 64 35 17 64 35 16 62 31 14 62 31 13 59 29 13 58 29 12 56 28 12 54 28 12 53 28 12 53 27 12 51 27 11 50 27 10 49 27 10 48 26 9 47 26 8 46 26 8 45 24 8 43 23 7 42 21 4 35 20 4
0.564 12 1 0.603 0.042 0.607 0.159 1.679 3.261 0.603 0.037 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 40 23 63 40 20 59 37 17 59 37 17 58 36 16 58 35 16 58 35 16 57 34 14 56 34 14 56 33 14 55 33 13 54 32 13 52 32 12 51 31 11 50 29 10 49 28 10 48 27 10 47 26 9 46 26 9 45 26 6 44 17 4
0.330 7 1 0.857 0.076 0.799 0.246 -0.466 -0.722 0.857 0.313 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 77 52 25 77 51 25 71 50 20 68 44 19 67 41 18 67 40 18 67 38 18 66 38 17 65 38 17 64 38 17 63 37 16 62 36 15 59 36 15 58 35 14 57 34 14 57 34 14 56 29 14 54 26 13 53 25 10 53 24 9 48 23 7
0.099 2 1 0.460 0.135 0.694 0.306 0.538 -1.049 0.624 0.462 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 54 27 80 48 26 71 39 22 68 38 19 67 35 18 66 35 18 65 34 17 65 33 16 64 32 15 63 29 13 61 29 12 61 28 11 60 28 10 58 27 10 58 26 9 58 25 9 55 24 8 53 23 8 51 22 6 45 20 6 39 17 5
0.237 5 1 0.504 0.057 0.671 0.195 0.270 -0.857 0.668 0.294 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 71 40 20 67 34 19 66 34 17 65 34 15 64 33 15 63 32 14 63 30 14 60 29 14 57 29 14 57 29 13 57 29 13 57 28 13 56 28 11 55 27 11 55 26 11 53 24 10 53 23 10 49 23 10 48 22 9 48 22 8 42 21 7
0.537 11 1 0.647 0.038 0.658 0.159 0.413 2.205 0.647 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 67 45 23 67 43 20 67 42 20 65 41 19 63 37 19 63 36 19 62 35 18 62 34 17 61 33 16 60 33 16 60 31 14 59 31 14 59 30 14 57 29 14 56 29 12 55 29 10 55 27 9 52 27 7 48 27 7 45 26 6 44 24 5
