zeta zeta_e psi t_s omega taus_mean taus_std taus_skewness taus_kurtosis taus_median taus_iqr epsilons_mean epsilons_std epsilons_skewness epsilons_kurtosis epsilons_median epsilons_iqr Ne_s_mean Ne_s_std Ne_s_skewness Ne_s_kurtosis Ne_s_median Ne_s_iqr pop0-[[5_1]] pop0-[[4_2]] pop0-[[3_3]] pop1-[[5_1]] pop1-[[4_2]] pop1-[[3_3]] pop2-[[5_1]] pop2-[[4_2]] pop2-[[3_3]] pop3-[[5_1]] pop3-[[4_2]] pop3-[[3_3]] pop4-[[5_1]] pop4-[[4_2]] pop4-[[3_3]] pop5-[[5_1]] pop5-[[4_2]] pop5-[[3_3]] pop6-[[5_1]] pop6-[[4_2]] pop6-[[3_3]] pop7-[[5_1]] pop7-[[4_2]] pop7-[[3_3]] pop8-[[5_1]] pop8-[[4_2]] pop8-[[3_3]] pop9-[[5_1]] pop9-[[4_2]] pop9-[[3_3]] pop10-[[5_1]] pop10-[[4_2]] pop10-[[3_3]] pop11-[[5_1]] pop11-[[4_2]] pop11-[[3_3]] pop12-[[5_1]] pop12-[[4_2]] pop12-[[3_3]] pop13-[[5_1]] pop13-[[4_2]] pop13-[[3_3]] pop14-[[5_1]] pop14-[[4_2]] pop14-[[3_3]] pop15-[[5_1]] pop15-[[4_2]] pop15-[[3_3]] pop16-[[5_1]] pop16-[[4_2]] pop16-[[3_3]] pop17-[[5_1]] pop17-[[4_2]] pop17-[[3_3]] pop18-[[5_1]] pop18-[[4_2]] pop18-[[3_3]] pop19-[[5_1]] pop19-[[4_2]] pop19-[[3_3]] pop20-[[5_1]] pop20-[[4_2]] pop20-[[3_3]]
0.395 8 1 0.609 0.073 0.695 0.225 0.625 -0.615 0.609 0.277 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 88 49 22 78 41 18 72 38 18 71 37 17 66 35 16 65 35 16 64 33 16 59 33 16 55 33 16 54 33 15 54 31 15 54 29 15 53 26 14 52 26 14 52 26 14 51 26 12 51 25 12 47 25 12 43 25 11 43 23 11 42 22 6
0.613 13 1 0.490 0.087 0.567 0.221 1.854 2.488 0.490 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 68 36 21 63 34 20 63 33 16 60 32 14 59 31 13 56 30 12 54 29 12 52 29 12 52 29 11 50 29 11 50 28 10 49 28 10 49 27 10 48 27 9 48 26 8 48 25 8 45 24 7 45 24 7 42 23 6 41 23 5 39 22 5
0.277 6 1 0.630 0.067 0.692 0.216 0.396 -0.530 0.630 0.233 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 47 24 73 43 21 72 42 21 70 40 18 69 38 18 68 38 17 67 38 17 66 35 17 65 35 16 65 32 16 58 32 14 57 31 13 56 31 13 55 30 13 54 29 12 53 29 12 51 27 12 51 24 11 46 23 9 46 21 7 41 19 5
0.502 11 1 0.855 0.039 0.795 0.177 -0.503 -0.039 0.855 0.157 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 75 47 24 72 43 23 72 43 22 70 43 22 69 42 20 68 41 20 68 41 19 67 40 18 66 37 16 65 37 16 62 37 16 62 36 16 62 35 15 59 34 15 58 34 13 58 32 13 57 32 12 56 32 10 51 31 9 49 22 8 48 21 6
0.167 4 1 0.636 0.070 0.817 0.239 0.113 -1.020 0.821 0.400 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 49 26 78 45 23 74 41 22 73 41 22 71 40 21 70 40 21 67 39 21 67 38 18 66 36 17 66 36 14 65 36 13 59 36 13 59 32 13 57 32 13 55 31 12 52 31 12 52 30 11 48 29 11 47 29 11 47 25 9 44 25 4
0.890 19 1 0.688 0.005 0.703 0.061 4.103 15.193 0.688 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 65 44 19 65 43 18 61 42 18 61 41 17 61 39 16 61 38 15 60 37 14 59 36 13 59 36 13 58 34 13 56 34 13 56 33 12 53 32 12 52 31 12 52 30 12 49 30 11 49 30 11 47 29 10 46 29 10 46 27 9 45 23 9
0.612 13 1 0.541 0.076 0.652 0.223 0.876 -0.514 0.541 0.279 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 38 17 74 37 16 65 36 15 64 36 15 61 35 15 59 34 14 59 34 14 59 33 13 58 30 13 58 30 13 57 29 12 53 27 12 53 26 12 53 26 11 53 24 11 51 22 10 50 21 10 48 20 9 46 20 9 45 20 7 42 12 5
0.652 14 1 0.369 0.156 0.548 0.292 1.344 0.226 0.369 0.275 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 72 29 17 65 29 16 61 27 14 58 25 12 56 25 11 53 25 10 52 25 10 51 25 9 50 23 9 49 21 9 49 21 9 48 21 9 47 19 9 45 19 8 45 18 8 44 18 8 43 17 8 43 17 8 42 15 8 40 14 8 39 14 5
0.673 14 1 0.551 0.063 0.602 0.195 1.547 1.412 0.551 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 77 38 18 67 38 17 66 37 16 65 36 16 64 35 16 63 32 15 59 31 13 57 30 13 57 29 13 56 28 13 56 28 12 55 27 11 54 27 11 53 27 10 53 27 10 49 25 9 48 25 9 47 24 9 45 23 9 44 22 9 44 19 8
0.657 14 1 0.500 0.093 0.610 0.239 1.193 -0.144 0.500 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 65 31 20 64 31 20 61 31 16 60 30 15 58 29 15 55 29 13 55 28 13 54 28 13 54 28 13 53 28 13 52 27 12 52 27 12 52 27 11 49 26 11 48 26 10 44 25 9 44 25 9 42 24 8 42 24 8 42 23 7 35 22 7
